0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
23340.535299234944,23329.391415532857,23253.622204087475,23273.715688225224,23348.646015108912,23431.314302723295,23302.506740614557,23303.53838573516,23342.29908379841,23386.360707965992,23333.64126062141,23218.796768990138,23506.906242324567,23355.224075377402,23206.80677369843,23322.806474805715,23255.665071867697,23442.170835386336,23468.348285945638,23333.29299033723,23226.871679526903,23132.51134891677,23393.247598105598,23360.799969916796,23562.56966725175,23406.777483239533,23407.767609905583,23575.634241103988,23359.884457807977,23357.775606177187,23161.5392396246,23249.174383278416,23178.76882101044,23154.24605060439,23307.19487608351,23427.424655884868,23341.318574618595,23341.95474448947,23292.817858050446,23154.154507515075,23238.576837363387,23539.217994463703,23284.622517515334,23285.49080906304,23219.864250969793,23360.389340720165,23347.871531113076,23492.33911914793,23162.287901412077,23451.309389855345
23390.62462093954,23282.591940355247,23410.028726899935,23240.256920177475,23287.13365382869,23579.2811076291,23312.581693914643,23140.36982780899,23379.32133644486,23331.214393427133,23114.340186437537,23380.37065391487,23435.646027321072,23257.731743661432,23293.135829867642,23329.557686292876,22884.604371331614,23501.218502393163,23474.245677015788,23491.711407943953,23233.377279090782,23030.995491559413,23323.984929851737,23342.293389884144,23718.428746863894,23367.89245029748,23284.29770688713,23652.711508802415,23450.77223374617,23361.623442827644,23112.86628714834,23275.284841211265,23098.64605057338,23161.421753603943,23291.813679188377,23473.830731386835,23446.272260477846,23388.16648886204,23191.528117705653,23261.034873344477,23194.13860861441,23488.556106709788,23344.055817111243,23403.92311349078,23254.654835630037,23409.55318366966,23317.946917724257,23357.463990686196,23321.893318644332,23339.235598822663
23453.266020410298,23236.99915522997,23519.15017656053,23291.32301861455,23152.444567073668,23642.234740381067,23407.04179804389,23351.196489463367,23307.968396584052,23278.73268454492,23015.71301408691,23417.87267353951,23516.259433892687,23308.347165021274,23311.774085130855,23409.030504917973,22844.24253188717,23571.387769625428,23679.831109592586,23506.731067984812,23213.808624647918,22778.43594511079,23312.747681905523,23168.193017436777,23448.578571189755,23554.88847331691,23380.561432569157,23426.058173832647,23440.671840205505,23246.785209436242,23094.029204035098,23215.352400285934,23088.6545830037,23256.795671722924,23418.925437062742,23289.333546987204,23326.059364394485,23590.729246975836,23099.214027577655,23207.158094633818,23423.127316732505,23348.07850099102,23333.26803061876,23596.8584810132,23479.607207390072,23379.447386021202,23282.38185600975,23132.048435434805,23554.597276850665,23321.368945177703
23287.521496786478,23180.16536974331,23520.721080393807,23498.733741924196,23074.37040980565,23632.2917859081,23532.16691962118,23370.923683833473,23561.627035612422,23341.840335238518,23080.47432210802,23691.61246900424,23836.392393747665,23119.136393787056,23328.470980413982,23510.819929041,22747.257987213346,23479.137930507557,23645.92777113387,23719.843655432873,23147.688631288966,22744.11472827352,23226.20793843007,23244.03784303634,23526.389983618894,23471.5873797929,23334.516579181025,23441.357939227008,23480.802916183162,23416.085327431872,23174.796554563676,23075.12367070108,23085.9549953872,23609.735521768973,23337.150256668036,23225.67428020189,23112.668267463912,23604.71422520519,22947.712888170205,23122.909054506286,23472.507713810017,23423.784708256164,23312.149998234163,23448.422436496716,23475.76598984904,23414.075995853913,23492.480370924826,23099.765428100007,23480.713620515588,23463.797856533216
23294.14937548249,23273.952012627422,23363.855398532938,23530.196669958867,23259.11201861887,23941.47872596624,23559.297470309553,23315.282031771072,23584.567133568824,23421.32598451977,23145.1649502429,23829.535774181495,23709.614906066035,22942.171682174845,23510.71245757094,23587.511210699242,22672.27761923579,23539.930685248062,23692.17972597131,23710.29752005933,23154.36951848159,22551.520999149212,23320.287728252137,23249.158225935887,23737.435642831588,23462.792074200086,23346.562843076827,23304.93686600359,23387.53768145736,23218.553349276972,23283.712517721346,23055.38607696257,23065.68677572721,23625.034019840776,23517.42602515365,23267.784581595326,23241.463726001595,23685.225305819073,22924.330530033698,23173.867259342067,23428.858649907208,23223.535020205898,23223.031517099185,23453.944140411066,23428.69801450774,23409.127887497467,23627.644524985273,23207.592808725487,23406.476078165895,23418.64364971365
23269.394383380884,23166.34110119166,23413.2307511316,23668.407672978366,23355.36048833179,23914.208046955435,23423.164444222355,23037.74559503843,23737.445622259973,23388.7661666763,23167.894794072312,23795.773581550595,23810.74768995469,22952.814320025005,23591.753324678546,23654.81435687482,22588.636015598688,23556.574200114388,23740.50742811045,23705.915531787112,23132.11208211,22502.550333286814,23239.47157192916,23265.446499835292,23745.180022362885,23574.114850723592,23211.48219800144,23255.164074310345,23504.307085555753,23066.85307525188,23523.719190925953,23268.34491140964,22915.800547035447,23516.23580443667,23371.88824697333,23147.622927666864,23226.659136324353,23474.30518358611,22985.034594282813,23172.57495357381,23281.82380796143,23163.60806444221,23249.128279243163,23228.44758588623,23334.994650058183,23393.72309527605,23572.095041453984,23123.46251252317,23626.51388725328,23352.9562478516
23234.077353314377,23452.792539483577,23442.05734324198,23798.948300484964,23097.886437853667,23764.55515462649,23539.23201709157,23015.04679348643,23849.812682360218,23232.379201079082,23354.36130979028,23918.181122665657,23820.10990466491,22970.684115999426,23448.805750130632,23699.18438067581,22584.05093263759,23596.833152433966,23779.364574818883,23779.674901692317,22981.813538762217,22458.99738803108,23152.128006684503,23495.430240029807,23743.271104086703,23625.958285763834,23250.01838606258,23393.668493944515,23495.4351181006,22948.96921898185,23308.591112091843,23152.06726242331,22856.808155580577,23506.023051743123,23181.069181332612,23045.47828326173,23243.901251126248,23390.506552200684,22997.803408478085,23074.01675199682,23230.417811454383,23150.15816741836,23231.247280142015,23170.09347404557,23158.169294908676,23448.078395227927,23359.32907854903,23112.94868401264,23711.01190367034,23154.48570875742
23059.22843987351,23472.20621594462,23249.54256725796,23630.705944924764,23042.605635459713,23514.26028611033,23326.888932043745,23078.446041990195,23754.55670624655,23145.95242597178,23398.482625452332,23737.059727926535,23758.47560197329,22930.06144526856,23495.781862699467,23631.503223293006,22599.880264989162,23650.449955363525,23862.54648607481,23722.12124410729,23224.10319208625,22280.80187912393,23269.084268092913,23261.077330420096,23703.11531829975,23563.165579553992,23254.72635189267,23649.673814866837,23570.585131564952,22962.45216267482,23498.00062328917,23065.637169536192,23072.0074011334,23569.569944225568,23289.640172062416,23009.091400254678,23348.768611912903,23317.057850747187,23006.80698813283,23056.36565407374,23356.010773062666,23321.000146251088,23231.64188746706,23052.738186529827,23140.94365459401,23428.563847902373,23606.27943758517,23117.93938406093,23706.861222960757,23216.98980605647
22951.86775604785,23401.994321316273,23321.197973688522,23595.789498145885,23025.560986854187,23380.438704128785,23307.23421759378,23154.17440036922,23682.428764705804,23493.014806733907,23338.103240747052,23465.065270275827,23767.156570298564,22813.276888062643,23339.701966361332,23654.69055976335,22535.12454971152,23623.621723175314,23967.66358283523,23674.608916958594,23311.46728966767,22246.59988443911,23334.493664158752,23252.859294208174,23544.83489015204,23449.20456283475,23310.794152178423,23595.445541377147,23478.199351758674,22898.49877899554,23554.929971488637,23015.561006093234,23205.34332668672,23475.33948285029,23169.380986233744,22911.835242387973,23410.053068171947,23338.990575893153,23185.384013796258,23020.393572310186,23137.064962116405,23341.108096672786,23232.582648267875,23094.799900469203,23118.796434058568,23561.372649419423,23809.58191390282,22998.783488613502,23686.955674111283,23141.430381008635
22904.575004161765,23305.960418751427,23275.920147238925,23638.869974168327,23035.341236195236,23450.131345858492,23456.923313831157,23335.378693095794,23445.04359151063,23564.84205972379,23561.032765230415,23528.494673913974,23979.62989755337,22767.998080520167,23255.71808290585,23564.337043525466,22538.564650525874,23194.77141898917,24062.600107692175,23459.527589906174,23355.75069054536,22350.15196203338,23221.559835367443,23382.19353347935,23286.73265477941,23446.435191068547,23230.43121950546,23723.793076763613,23352.896982058195,22750.63954493899,23655.1604031231,23083.630676661367,23209.875149477477,23370.41279746408,23141.183962224848,22789.200991785397,23430.13778037967,23315.90545083813,23092.16043004732,22967.57962608892,23327.699825998036,23375.577876308384,23261.13008218405,23103.085605886197,23154.590118699016,23511.494778094682,23790.720156718748,23089.305598716845,23685.74628932793,23122.2208061723
