0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1595433.5329141892,1587970.6324177869,1582536.205886782,1588264.5476163842,1586895.1726828252,1595362.3776891916,1583888.2515467058,1591553.96789511,1596551.2858878924,1599251.7547066982,1596949.8633430512,1589317.3859858632,1606166.701121868,1593171.756875312,1584991.5477252528,1590384.6473544259,1591738.1103196475,1593874.9988049266,1595935.5269077525,1587538.4445801321,1588189.8789213737,1576315.3728361079,1592990.2865245598,1598312.3867794983,1602563.2869631771,1596932.7512626525,1593822.711800155,1603212.1012434075,1597884.3483885725,1586023.7828998603,1579789.483918747,1591547.4297106466,1582454.9773850832,1574723.2249136646,1582596.8239065134,1600461.9650078318,1593491.788220296,1590678.729639087,1594341.7358832348,1585973.9809226561,1590036.728333982,1604582.7421543768,1589887.2680922288,1583684.7355452864,1585902.265821646,1594489.3693013948,1595157.434515173,1596136.220624235,1582867.7382171433,1598982.9723598652
1600390.8107932513,1588672.5626795948,1586875.1259662504,1584521.8508861754,1587044.4624077755,1599174.0857039106,1585247.5490781183,1576593.8109740948,1594732.2563120823,1599744.831321065,1585137.1005751684,1604403.1299720095,1610420.2465971448,1589431.7055881496,1582639.4638280193,1589024.693936597,1575775.080671582,1599318.0756155509,1593730.4247105448,1603282.110874475,1592010.718058099,1579428.5594780606,1587710.8552355496,1600255.8823984193,1608971.1116139155,1595074.0843043507,1583452.9452239706,1615309.0500369905,1607636.0021800387,1584260.040263633,1578622.1580837476,1596784.2290649202,1574653.3965639307,1584864.9840075457,1589390.8992535174,1603941.9747697792,1602524.6166625493,1580071.156752141,1587121.060140913,1588681.157615239,1588161.0292596617,1598787.2586251548,1587433.2482384765,1592442.6705357716,1587871.1495122334,1594043.1310112025,1598068.4923881828,1597137.9646507152,1599509.464522962,1597043.0360233716
1604200.2468113613,1582463.0673510367,1595314.5459120984,1587965.5244225468,1587350.5777869625,1601511.1913947186,1594540.4759141607,1592864.021365995,1583789.0897141658,1590975.3078125427,1573976.1840143523,1615976.045460056,1618959.586378437,1592970.0244726222,1586189.466189727,1592510.3947259341,1575560.6555702956,1603547.1048000872,1609849.9237248534,1611430.407397123,1592250.9724557034,1568145.842162102,1586302.0029994363,1590410.1924712737,1586876.8519191504,1605131.3578302162,1588619.3450678384,1614565.973022704,1605969.2510311864,1577589.0509669806,1582184.947004589,1583425.8163826384,1566118.786675688,1587637.9816595449,1600468.5253690418,1595244.9459432024,1595977.5348596035,1593013.0896713692,1583400.6783028278,1592912.2951720702,1589041.8856736645,1589347.123573197,1586411.6670889568,1607016.4069347114,1598769.9993214866,1595945.2043011251,1591408.3729904285,1580730.8042015648,1612409.675533669,1592363.4435404893
1595937.771890705,1574952.8934074827,1597852.4990393438,1598588.4644055655,1585904.4998668844,1602761.9091930517,1605617.0690946977,1594793.4682478942,1604469.8562504114,1603096.182238869,1576263.422561677,1632193.6864467375,1630793.7335260226,1584785.935967688,1590870.0162104107,1595605.6965152684,1578962.742904064,1602975.1927315332,1609268.5601427602,1624915.123552755,1585310.482078271,1565653.2876592681,1583191.1363845377,1603202.1560897734,1588585.222174584,1604979.1517096395,1583045.366909329,1625084.1341793202,1611264.1183452148,1589501.992879912,1591629.7220796465,1576085.8418352823,1563761.6002096592,1605752.0402996766,1597326.8208878327,1586043.8408940488,1579090.4048523975,1594657.2392344677,1571461.3470851793,1589833.7383130775,1594457.253929083,1598494.2533460814,1589609.0878896536,1604118.319450828,1599832.3250021657,1599901.9028345724,1602911.7215084594,1581220.1763729975,1603937.833975023,1601162.0522187264
1596956.911390001,1571975.5544017102,1590329.796885737,1597606.3720420036,1598417.9944540455,1622144.3996795635,1599041.3110244062,1591127.0576146923,1606523.7825718275,1603882.0436678943,1582170.5530054444,1644434.6654996604,1626678.0118530833,1573439.5133112662,1596626.6433725585,1588373.411576473,1571128.4813744768,1613240.8916896214,1607121.725934808,1622020.6734211128,1589671.2040176648,1559336.841905118,1594379.85367607,1602774.4586597714,1605765.3194122303,1598050.7361019722,1583162.162174623,1619111.0684501934,1611509.7529066238,1580120.794427672,1599152.746590903,1576531.0634634725,1561581.0979303098,1604454.461207378,1610076.2887555114,1587638.3487595902,1589056.5120189479,1601522.657110983,1565101.1331994154,1597472.31765518,1591539.8238456687,1596047.51075403,1584607.7178848502,1610961.017884311,1600878.3452992444,1605191.8196508836,1604794.2603099062,1581553.367419463,1600218.9409466193,1589519.4109899385
1596225.872591595,1569605.58345116,1595737.473360429,1610998.5517889017,1596259.2937398157,1621539.583568315,1590243.8911861246,1583193.8104825818,1618112.332982396,1599481.8325923518,1583787.1536685308,1642515.3917298734,1632163.902127785,1570474.899119036,1600950.7159228718,1591047.6000041468,1563687.6761874196,1616451.0910848777,1614859.7678150665,1626340.7308095566,1596740.9754123294,1564259.494627628,1590210.8009599918,1598239.4242086739,1603324.0571980993,1593488.3529902706,1580167.3710713747,1609147.2651064661,1605059.1931024545,1569612.8124538844,1606458.5969091028,1590359.6709051928,1558567.888035093,1600787.0516882627,1596280.9236369042,1579121.2319410215,1590940.7611470674,1591723.5559520174,1568494.212302975,1592270.7206138005,1586443.5857616575,1599333.0333623549,1587909.2581616144,1601621.494449662,1597881.3545093583,1604709.1484582403,1606545.384198997,1578733.0128699227,1611003.996600038,1586203.9631274715
1595076.082437861,1589535.4346305665,1589930.6088856966,1616735.3688307256,1580320.6396909424,1615197.3952475013,1593495.355322831,1580542.2890624865,1622135.9673107308,1588761.0633880799,1598844.5667627028,1640841.447191402,1633266.1329464368,1569840.8872043847,1585906.7109902906,1592561.9368457731,1566958.9570497402,1620365.3400409406,1611682.6583554018,1632142.1345817777,1597068.9207066554,1564992.6931100823,1590115.7066294076,1604010.4247741709,1603342.3794466637,1595588.1255943635,1581812.764886118,1620632.0859600164,1600091.6018139157,1567867.1209079046,1599154.3817185008,1583448.9345687581,1557709.3353812962,1608200.9354582112,1582848.8049893987,1580594.7626356496,1594498.4940450357,1586943.351843059,1582533.877135312,1590767.1095269232,1583343.2995473514,1599063.8833634788,1591016.454470721,1599806.7955484919,1593458.3762054353,1610754.7261912823,1588988.886209278,1569603.394877631,1609922.9282339197,1571912.2198296834
1586951.3637844962,1583027.5436274498,1576220.501117217,1600777.5334688749,1575980.6551607226,1601003.0713578947,1582817.1305111647,1580718.5223917188,1608792.6280626578,1584317.6490038836,1604557.5365918945,1620768.941406805,1627578.9744313974,1569899.9642262082,1590569.2191150582,1592311.8082316108,1561442.204230028,1627778.9842672923,1620521.88614381,1623192.7417802736,1612974.4033067839,1547393.0763762952,1601878.74469781,1583186.210688828,1601051.7129424214,1587626.9887822154,1581904.3888714411,1635969.405964527,1601776.5305264841,1570375.0621259639,1605644.084288152,1581841.0372174312,1569676.2261267207,1613025.6074984297,1590418.4644823638,1581619.789912805,1597503.3680650117,1583084.6572034184,1585461.040609986,1591633.643293073,1593323.0800437492,1609156.455188369,1591709.4952684054,1597753.0795184409,1599894.7121347203,1617458.804498198,1599646.0858399773,1561564.6480877006,1615591.4134086622,1571744.694291764
1576637.928743094,1575637.521405197,1581820.3311318234,1603779.0394429574,1572712.716906817,1589457.183400401,1582605.0592396194,1581478.738966934,1599600.9377693068,1608141.1155417585,1603097.97640889,1598242.1508673767,1625724.8628262123,1563984.3510404343,1584884.5531858809,1597067.6815075444,1557337.304104956,1624131.2308210586,1624420.9171035406,1625003.8183248078,1621211.115170992,1548323.6749508576,1600769.3823694512,1588609.8834600202,1595757.9756884435,1586020.3083679872,1584596.0712095832,1630998.5970207416,1597886.2102649796,1558058.2720671513,1604045.8058850183,1577749.9273629715,1570474.9478826986,1607059.7813646398,1579840.5002649543,1569442.6794172204,1604640.0744866058,1584978.7709282176,1588825.9728144195,1591517.044494261,1578085.5474686236,1608681.7373971732,1593252.3900515337,1606451.3232164492,1606299.9781563836,1618760.1306184486,1610664.910380935,1554900.0502580367,1622595.4551690076,1567487.9598901712
1573635.8107270158,1573377.9481276528,1578272.8129167424,1608556.08383067,1570644.511557916,1589591.0676465912,1591933.4858638283,1586811.1280702709,1583476.6772750937,1608322.66461121,1616198.1935196507,1597708.9860581295,1644100.380780046,1565349.3938577615,1582149.3156771455,1595137.7364717925,1555254.6130297533,1600830.6400754834,1624944.6990501396,1612882.6950824056,1623757.3688019146,1563567.0121366656,1594652.2148254039,1599198.4613882718,1584805.6919425547,1584900.9562557978,1586090.4360940102,1627722.4046905995,1591220.2995614288,1551982.2030989595,1608951.9165233576,1589337.9704117356,1569926.1319536008,1610538.092243179,1581492.5035378728,1557377.577914137,1603292.9970180637,1578878.6721182687,1584622.6839208812,1586636.7297912536,1590033.8565309637,1607110.085152476,1592143.352627889,1612818.5640576158,1619010.298993608,1616376.168222902,1612068.3579840001,1561538.1957934313,1631050.1198752748,1562170.2762360957
